Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy
10.0,20.0,150.0,95.0,27.0,50.0,10.0,80.0,1.0,600.0,2.0,0.0,1.0,17.0,18.0,150.0,6.5,2.0,0.3,30.0,0.0,2.499999999875,0.01895121072854538,3.7,80.0
25.0,50.0,200.0,90.0,7.0,4.0,6.5,120.0,24.0,300.0,3.0,50.0,1.0,9.0,36.0,150.0,200.0,30.0,0.3,-20.0,7.05,0.0799999999984,34.817686186217124,0.20000000000000018,2880.0
10.0,10.0,150.0,85.0,6.0,300.0,12.0,25.0,14.0,500.0,2.0,0.0,0.0,27.0,4.0,1000.0,3.0,1.0,0.4,40.0,0.0,29.999999997,0.00016959695838193492,5.7,350.0
18.0,2.0,250.0,85.0,33.0,10.0,7.0,25.0,4.0,200.0,3.0,20.0,0.0,27.0,32.0,100.0,100.0,20.0,0.4,-20.0,0.0,4.9999999975,14.138690119407757,0.7000000000000002,100.0
3.0,10.0,150.0,85.0,4.0,50.0,4.5,25.0,4.0,500.0,5.0,6.8,0.0,27.0,17.0,50.0,50.0,10.0,0.4,38.0,9.0,4.9999999995,83.67385870944449,-1.7999999999999998,100.0
10.0,10.0,150.0,85.0,6.0,50.0,9.75,40.0,1.0,700.0,2.0,0.0,0.0,27.0,33.0,750.0,15.0,4.0,0.4,25.0,9.0,4.9999999995,0.030148441014317507,3.45,40.0
41.0,0.2,18.8,94.0,26.0,0.064,6.5,25.0,1.0,300.0,2.0,0.0,0.0,27.0,20.0,10.0,250.0,50.0,0.4,15.0,9.0,0.3199999984,36.36513890560455,0.20000000000000018,25.0
31.0,25.0,200.0,85.0,7.0,10.15,9.0,25.0,4.0,300.0,2.0,0.0,0.0,27.0,9.0,500.0,8.0,2.0,0.3,-15.0,0.0,0.40599999998376,0.1692595795119071,2.7,100.0
36.0,10.0,150.0,85.0,38.0,50.0,6.0,120.0,2.0,400.0,2.0,0.0,0.0,27.0,28.0,50.0,15.0,3.0,0.3,25.0,7.05,4.9999999995,56.621851089565375,-0.2999999999999998,240.0
36.0,10.0,150.0,85.0,33.0,100.0,7.0,120.0,2.0,0.0,2.0,0.0,0.0,27.0,30.0,0.0,10.0,3.0,0.3,-15.0,0.0,9.999999999,14.138690119407757,0.7000000000000002,240.0
38.0,20.0,250.0,75.0,35.0,13.3,2.5,25.0,24.0,500.0,2.0,0.0,0.0,27.0,11.0,2.4,40.0,10.0,0.4,45.0,0.0,0.6649999999667501,74.98811518467284,-3.8,600.0
33.0,10.0,100.0,90.0,3.0,1.0,3.0,25.0,0.5,500.0,2.0,0.0,0.0,27.0,31.0,100.0,50.0,10.0,0.4,20.0,0.0,0.09999999999,89.95491574462676,-3.3,12.5
24.0,20.0,250.0,85.0,6.0,300.0,4.5,120.0,16.0,500.0,2.0,0.0,0.0,27.0,1.0,167.0,42.0,12.0,0.3,40.0,0.0,14.99999999925,83.67385870944449,-1.7999999999999998,1920.0
25.0,20.0,342.5,85.0,2.0,8.14,4.5,120.0,24.0,300.0,2.0,0.0,0.0,27.0,1.0,10.0,20.0,5.0,0.4,-15.0,0.0,0.40699999997965003,83.67385870944449,-1.7999999999999998,2880.0
19.0,15.0,100.0,90.0,34.0,50.0,7.0,25.0,2.0,346.0,2.0,0.0,0.0,27.0,1.0,150.0,31.0,5.0,0.35,20.0,0.0,3.3333333331111112,14.970377773490567,0.7000000000000002,50.0
48.0,40.0,161.0,85.0,25.0,8.7,1.3,120.0,2.0,500.0,2.0,0.0,1.0,3.0,8.0,874.0,130.0,15.0,0.28,40.0,0.0,0.2174999999945625,84.99915000849991,-5.0,240.0
38.0,0.1,150.0,85.0,23.0,300.0,4.0,80.0,3.0,400.0,2.0,0.0,0.0,27.0,25.0,10.0,18.4,1.0,0.3,20.0,5.2,2999.9999700000003,84.57611530738153,-2.3,240.0
44.0,10.0,190.0,85.0,14.0,9.63,6.0,60.0,0.83,500.0,1.0,3.7,1.0,28.0,5.0,0.0,50.0,8.0,0.3,25.0,0.0,0.9629999999037001,56.621851089565375,-0.2999999999999998,49.8
25.0,10.0,120.0,80.0,33.0,62.4,8.5,120.0,8.0,400.0,2.0,0.0,0.0,27.0,26.0,1000.0,20.0,3.0,0.238,-33.0,0.0,6.239999999376,0.501600987314707,2.2,960.0
29.0,0.5,150.0,85.0,24.0,0.51,4.0,25.0,3.0,500.0,2.0,0.0,1.0,29.0,3.0,12.5,6.0,2.0,0.2,45.0,0.0,1.01999999796,84.57611530738153,-2.3,75.0
27.0,50.0,200.0,85.0,33.0,92.3,13.0,25.0,12.0,300.0,2.0,0.0,0.0,27.0,1.0,1000.0,83.00684471666668,5000.0,0.1,-5.0,0.0,1.84599999996308,1.6959726293325193e-05,6.7,300.0
10.0,5.0,150.0,85.0,18.0,20.0,12.0,52.0,2.0,200.0,2.0,0.0,0.0,27.0,27.0,1000.0,50.0,10.0,0.4,-15.0,5.1,3.9999999992,0.00016959695838193492,5.7,104.0
17.0,5.0,150.0,85.0,39.0,10.0,11.0,25.0,0.0167,0.0,2.0,0.0,1.0,14.0,11.0,100.0,78.0,8.0,0.3,35.0,0.0,1.9999999996,0.0016959391292892154,4.7,0.4175
