Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy
25.0,20.0,150.0,85.0,2.0,59.0,9.0,60.0,12.0,400.0,2.0,0.0,0.0,27.0,17.0,346.3532403163262,35.0,10.0,0.4,25.0,9.0,2.9499999998525,0.1692595795119071,2.7,720.0
10.0,0.333,100.0,85.0,30.0,50.0,6.5,25.0,24.0,400.0,2.0,0.0,0.0,27.0,34.0,10.0,8.1,1.5,0.35,25.0,9.0,150.15014969924877,32.88337028698284,0.20000000000000018,600.0
10.0,30.0,260.0,85.0,7.0,100.0,11.0,60.0,2.0,500.0,1.0,100.0,0.0,27.0,2.0,500.0,30.0,5.0,0.4,-20.0,9.0,3.3333333332222224,0.0016959391292892154,4.7,120.0
10.0,10.0,150.0,85.0,30.0,50.0,11.0,80.0,2.0,400.0,2.0,0.0,0.0,27.0,1.0,150.0,10.0,2.0,0.25,30.0,0.0,4.9999999995,0.0016959391292892154,4.7,160.0
1.0,10.0,150.0,85.0,30.0,125.77446383262868,6.0,25.0,2.33,600.0,2.0,0.0,1.0,0.0,33.0,1000.0,18.0,4.0,0.3,35.0,9.0,12.577446382005123,56.621851089565375,-0.2999999999999998,58.25
9.0,1.0,150.0,85.0,30.0,50.0,6.0,25.0,2.0,400.0,2.0,0.0,1.0,30.0,1.0,100.0,55.0,15.0,0.4,30.0,0.0,49.999999949999996,56.621851089565375,-0.2999999999999998,50.0
34.0,5.0,250.0,90.0,40.0,4.15,5.0,25.0,4.0,500.0,1.0,100.0,1.0,15.0,10.0,50.0,50.0,10.0,0.3,30.0,0.0,0.8299999998340001,85.70459510692166,-1.2999999999999998,100.0
10.0,22.2,150.0,70.0,30.0,200.0,7.5,80.0,24.0,400.0,2.0,0.0,0.0,27.0,6.0,200.0,36.0,8.0,0.3,20.0,0.0,9.009009008603199,4.15456601719373,1.2000000000000002,1920.0
38.0,10.0,250.0,80.0,7.0,55.0,7.0,60.0,1.0,350.0,1.0,40.0,1.0,7.0,17.0,20.0,39.0,5.0,0.4,27.1,9.0,5.49999999945,13.307002465324949,0.7000000000000002,60.0
36.0,20.0,500.0,83.0,12.0,50.0,3.0,120.0,0.033,500.0,2.0,0.0,1.0,11.0,13.0,100.0,6.0,1.5,0.25,-15.0,6.4,2.499999999875,82.95842229782247,-3.3,3.96
5.0,1.0,150.0,85.0,20.0,0.14,6.0,100.0,24.0,500.0,1.0,100.0,1.0,8.0,17.0,10.0,45.0,25.6,0.4,35.0,9.0,0.13999999986,56.621851089565375,-0.2999999999999998,2400.0
16.0,10.0,150.0,85.0,37.0,1.0,3.0,25.0,3.0,400.0,2.0,0.0,1.0,31.0,1.0,50.0,35.0,5.0,0.3,-20.0,0.0,0.09999999999,84.95742042548083,-3.3,75.0
46.0,1.0,150.0,85.0,40.0,103.8,4.0,60.0,0.5,400.0,3.0,1.09,1.0,18.0,23.0,16.35,33.5,1.5,0.2,25.0,0.0,103.79999989619999,84.57611530738153,-2.3,30.0
10.0,10.0,150.0,85.0,32.0,50.0,11.0,90.0,1.0,500.0,2.0,0.0,1.0,19.0,17.0,150.0,156.0,15.0,0.349,25.0,9.0,4.9999999995,0.0016959391292892154,4.7,90.0
46.0,1.0,150.0,85.0,40.0,103.8,4.0,100.0,2.0,400.0,3.0,1.09,1.0,5.0,24.0,16.14,33.5,1.5,0.2,25.0,9.0,103.79999989619999,84.57611530738153,-2.3,200.0
10.0,20.0,150.0,85.0,7.0,50.0,11.0,80.0,1.5,500.0,2.0,0.0,1.0,10.0,17.0,500.0,26.0,2.0,0.25,35.0,9.0,2.499999999875,0.0016959391292892154,4.7,120.0
40.0,30.0,120.0,80.0,16.0,200.0,2.5,40.0,12.0,300.0,3.0,100.0,1.0,16.0,5.0,50.0,110.0,20.0,0.3,30.0,0.0,6.666666666444445,79.98732286365102,-3.8,480.0
39.0,10.0,150.0,85.0,40.0,4.0,3.0,25.0,24.0,500.0,2.0,0.0,0.0,27.0,16.0,1000.0,90.0,10.0,0.4,30.0,0.0,0.39999999996,84.95742042548083,-3.3,600.0
