Synthesis_Method,Chitosan_Conc_mgmL,Chitosan_MW_kDa,Chitosan_DD_percent,Cobalt_Source,Cobalt_Conc_mM,pH,Temperature_C,Time_hr,Stirring_Speed_rpm,Crosslinker/TPP_Used,Crosslinker_Conc_mM,Ultrasonication,Ultrasonication_Details,Solvent,Ionic_Strength_mM,Particle_Size_nm,Size_SD_nm,PDI,Zeta_Potential_mV,Solvent_polarity_index,Co_to_CS_ratio,CS_charge_index,pHpKa_diff,Energy_proxy,size_score,pdi_score,zeta_score,Antimicrobial_Score
10.0,10.0,200.0,80.0,30.0,100.0,10.0,70.0,2.0,500.0,2.0,0.0,1.0,6.0,20.0,100.0,100.0,20.0,0.3,15.0,9.0,9.999999999,0.0159589142977224,3.7,140.0,0.18393972058572117,1.0,0.85,0.6210758882342884
8.0,30.0,150.0,85.0,19.0,57.0,8.0,60.0,12.0,500.0,2.0,0.0,0.0,27.0,5.0,100.0,100.0,10.0,0.4,25.0,0.0,1.8999999999366664,1.6627958291692586,1.7000000000000002,720.0,0.18393972058572117,0.4999999999999999,0.85,0.4960758882342884
25.0,2.0,100.0,85.0,13.0,300.0,12.5,120.0,3.0,400.0,3.0,61.0,0.0,27.0,17.0,500.0,8.08,2.5,0.2,-15.0,9.0,149.999999925,5.363134044172826e-05,6.2,360.0,0.5,1.0,0.75,0.7124999999999999
11.0,10.0,150.0,85.0,36.0,100.0,10.5,80.0,4.0,500.0,6.0,100.0,1.0,2.0,21.0,1000.0,30.0,8.0,0.4,25.0,9.0,9.999999999,0.0053627990583363,4.2,320.0,0.9,0.4999999999999999,0.85,0.7825
13.0,19.7,77.0,90.3,33.0,2.95,7.0,25.0,1.0,150.0,3.0,100.0,0.0,27.0,11.0,10.0,23.0,4.0,0.4,-15.0,0.0,0.1497461928857997,15.020279032735536,0.7000000000000002,25.0,0.9,0.4999999999999999,0.75,0.7475
10.0,10.0,150.0,85.0,27.0,33.0,12.5,85.0,2.0,500.0,2.0,0.0,0.0,27.0,19.0,500.0,171.3,25.0,0.14,35.0,0.0,3.29999999967,5.363134044172826e-05,6.2,170.0,0.044194842573681024,1.0,1.0,0.6176779370294724
15.0,5.0,200.0,90.0,34.0,4.26,2.4,25.0,3.0,400.0,2.0,0.0,1.0,24.0,1.0,100.0,30.0,5.0,0.3,40.0,0.0,0.8519999998296,89.98867109751818,-3.9,75.0,0.9,1.0,1.0,0.96
10.0,20.0,150.0,95.0,27.0,50.0,10.0,80.0,1.0,600.0,2.0,0.0,1.0,17.0,18.0,150.0,6.5,2.0,0.3,30.0,0.0,2.499999999875,0.0189512107285453,3.7,80.0,0.5,1.0,1.0,0.8
25.0,50.0,200.0,90.0,7.0,4.0,6.5,120.0,24.0,300.0,3.0,50.0,1.0,9.0,36.0,150.0,200.0,30.0,0.3,-20.0,7.05,0.0799999999984,34.817686186217124,0.2000000000000001,2880.0,0.024893534183931972,1.0,1.0,0.6099574136735728
10.0,10.0,150.0,85.0,6.0,300.0,12.0,25.0,14.0,500.0,2.0,0.0,0.0,27.0,4.0,1000.0,3.0,1.0,0.4,40.0,0.0,29.999999997,0.0001695969583819,5.7,350.0,0.5,0.4999999999999999,1.0,0.675
18.0,2.0,250.0,85.0,33.0,10.0,7.0,25.0,4.0,200.0,3.0,20.0,0.0,27.0,32.0,100.0,100.0,20.0,0.4,-20.0,0.0,4.9999999975,14.138690119407755,0.7000000000000002,100.0,0.18393972058572117,0.4999999999999999,1.0,0.5485758882342884
3.0,10.0,150.0,85.0,4.0,50.0,4.5,25.0,4.0,500.0,5.0,6.8,0.0,27.0,17.0,50.0,50.0,10.0,0.4,38.0,9.0,4.9999999995,83.67385870944449,-1.7999999999999998,100.0,0.5,0.4999999999999999,1.0,0.675
10.0,10.0,150.0,85.0,6.0,50.0,9.75,40.0,1.0,700.0,2.0,0.0,0.0,27.0,33.0,750.0,15.0,4.0,0.4,25.0,9.0,4.9999999995,0.0301484410143175,3.45,40.0,0.5,0.4999999999999999,0.85,0.6224999999999999
41.0,0.2,18.8,94.0,26.0,0.064,6.5,25.0,1.0,300.0,2.0,0.0,0.0,27.0,20.0,10.0,250.0,50.0,0.4,15.0,9.0,0.3199999984,36.36513890560455,0.2000000000000001,25.0,0.00915781944436709,0.4999999999999999,0.85,0.4261631277777468
31.0,25.0,200.0,85.0,7.0,10.15,9.0,25.0,4.0,300.0,2.0,0.0,0.0,27.0,9.0,500.0,8.0,2.0,0.3,-15.0,0.0,0.40599999998376,0.1692595795119071,2.7,100.0,0.5,1.0,0.75,0.7124999999999999
36.0,10.0,150.0,85.0,38.0,50.0,6.0,120.0,2.0,400.0,2.0,0.0,0.0,27.0,28.0,50.0,15.0,3.0,0.3,25.0,7.05,4.9999999995,56.621851089565375,-0.2999999999999998,240.0,0.5,1.0,0.85,0.7475
36.0,10.0,150.0,85.0,33.0,100.0,7.0,120.0,2.0,0.0,2.0,0.0,0.0,27.0,30.0,0.0,10.0,3.0,0.3,-15.0,0.0,9.999999999,14.138690119407755,0.7000000000000002,240.0,0.5,1.0,0.75,0.7124999999999999
38.0,20.0,250.0,75.0,35.0,13.3,2.5,25.0,24.0,500.0,2.0,0.0,0.0,27.0,11.0,2.4,40.0,10.0,0.4,45.0,0.0,0.6649999999667501,74.98811518467284,-3.8,600.0,0.7,0.4999999999999999,1.0,0.7549999999999999
33.0,10.0,100.0,90.0,3.0,1.0,3.0,25.0,0.5,500.0,2.0,0.0,0.0,27.0,31.0,100.0,50.0,10.0,0.4,20.0,0.0,0.09999999999,89.95491574462676,-3.3,12.5,0.5,0.4999999999999999,1.0,0.675
24.0,20.0,250.0,85.0,6.0,300.0,4.5,120.0,16.0,500.0,2.0,0.0,0.0,27.0,1.0,167.0,42.0,12.0,0.3,40.0,0.0,14.99999999925,83.67385870944449,-1.7999999999999998,1920.0,0.6599999999999999,1.0,1.0,0.8639999999999999
25.0,20.0,342.5,85.0,2.0,8.14,4.5,120.0,24.0,300.0,2.0,0.0,0.0,27.0,1.0,10.0,20.0,5.0,0.4,-15.0,0.0,0.40699999997965,83.67385870944449,-1.7999999999999998,2880.0,0.75,0.4999999999999999,0.75,0.6875
19.0,15.0,100.0,90.0,34.0,50.0,7.0,25.0,2.0,346.0,2.0,0.0,0.0,27.0,1.0,150.0,31.0,5.0,0.35,20.0,0.0,3.3333333331111112,14.970377773490569,0.7000000000000002,50.0,0.88,0.75,1.0,0.8895
48.0,40.0,161.0,85.0,25.0,8.7,1.3,120.0,2.0,500.0,2.0,0.0,1.0,3.0,8.0,874.0,130.0,15.0,0.28,40.0,0.0,0.2174999999945625,84.99915000849991,-5.0,240.0,0.10094825899732769,1.0,1.0,0.640379303598931
38.0,0.1,150.0,85.0,23.0,300.0,4.0,80.0,3.0,400.0,2.0,0.0,0.0,27.0,25.0,10.0,18.4,1.0,0.3,20.0,5.2,2999.9999700000003,84.57611530738153,-2.3,240.0,0.6699999999999999,1.0,1.0,0.8679999999999999
